Raw 0x113e3226  Time:  289288742;  DifTime: 232
Raw 0x113e330a  Time:  289288970;  DifTime: 228
Raw 0x113e33f1  Time:  289289201;  DifTime: 231
Raw 0x113e34d6  Time:  289289430;  DifTime: 229
Raw 0x113e35bc  Time:  289289660;  DifTime: 230
Raw 0x113e36a3  Time:  289289891;  DifTime: 231
Raw 0x113e378d  Time:  289290125;  DifTime: 234
Raw 0x113e3877  Time:  289290359;  DifTime: 234
Raw 0x113e395e  Time:  289290590;  DifTime: 231
Raw 0x113e3a46  Time:  289290822;  DifTime: 232
Raw 0x113e3b31  Time:  289291057;  DifTime: 235
Raw 0x113e3c16  Time:  289291286;  DifTime: 229
Raw 0x113e3cfc  Time:  289291516;  DifTime: 230
Raw 0x113e3de1  Time:  289291745;  DifTime: 229
Raw 0x113e3ec6  Time:  289291974;  DifTime: 229
Raw 0x113e3fe2  Time:  289292258;  DifTime: 284
Raw 0x113e40cb  Time:  289292491;  DifTime: 233
Raw 0x113e41ae  Time:  289292718;  DifTime: 227
Raw 0x113e4293  Time:  289292947;  DifTime: 229
Raw 0x113e4379  Time:  289293177;  DifTime: 230
Raw 0x113e445e  Time:  289293406;  DifTime: 229
Raw 0x113e4541  Time:  289293633;  DifTime: 227
Raw 0x113e4627  Time:  289293863;  DifTime: 230
Raw 0x113e470d  Time:  289294093;  DifTime: 230
Raw 0x113e47f5  Time:  289294325;  DifTime: 232
Raw 0x113e48dd  Time:  289294557;  DifTime: 232
Raw 0x113e49c5  Time:  289294789;  DifTime: 232
Raw 0x113e4aad  Time:  289295021;  DifTime: 232
Raw 0x113e4b95  Time:  289295253;  DifTime: 232
Raw 0x113e4c7f  Time:  289295487;  DifTime: 234
Raw 0x113e4d65  Time:  289295717;  DifTime: 230
Raw 0x113e4e49  Time:  289295945;  DifTime: 228
Raw 0x113e4f31  Time:  289296177;  DifTime: 232
Raw 0x113e5019  Time:  289296409;  DifTime: 232
Raw 0x113e515d  Time:  289296733;  DifTime: 324
Raw 0x113e5247  Time:  289296967;  DifTime: 234
Raw 0x113e532d  Time:  289297197;  DifTime: 230
Raw 0x113e5415  Time:  289297429;  DifTime: 232
Raw 0x113e5500  Time:  289297664;  DifTime: 235
Raw 0x113e55e8  Time:  289297896;  DifTime: 232
Raw 0x113e56cf  Time:  289298127;  DifTime: 231
Raw 0x113e57ba  Time:  289298362;  DifTime: 235
Raw 0x113e58a1  Time:  289298593;  DifTime: 231
Raw 0x113e598a  Time:  289298826;  DifTime: 233
Raw 0x113e5a75  Time:  289299061;  DifTime: 235
Raw 0x113e5b59  Time:  289299289;  DifTime: 228
